label	text_a
1	#IndiaFightsCorona  Five  States  of  Maharashtra  Karnataka  Andhra  Pradesh  Uttar  Pradesh  and  Tamil  Nadu  contribute  61%  of  the  total  active  cases.  The  total  number  of  active  cases  in  the  country  stands  at  897394  as  on  date.  https://t.co/9MvpkOhlSK
0	Waterford  Mother  Won’t  Be  Getting  That  Covid  Vaccine,  That’s  For  Sure  https://t.co/HVTCyIHLZ4
1	#IndiaFightsCorona  India  witnesses  an  Unprecedented  Surge  in  Daily  Testing.  More  than  11.7  lakh  #COVID19  tests  conducted  in  the  last  24  hrs.  More  than  4.5  cr  Total  Tests  conducted.  https://t.co/BcyLVGqNyP  https://t.co/2zNDxT6l76
0	TV  Globo  used  images  of  a  collective  funeral  for  the  victims  of  a  shipwreck  in  Lampedusa  in  2013  to  illustrate  a  story  about  deaths  by  COVID-19  in  Italy.
1	As  on  9th  July  2020  a  total  of  283659  samples  were  tested  for  #COVID19.  @MoHFW_INDIA  @drharshvardhan  @DrHVoffice  @ICMRDELHI  #CovidIndiaSeva  #COVID__19  #Covid_19  #COVIDー19  #CoronaUpdates  #CoronavirusIndia  #CoronaVirusUpdates  #coronavirus  #COVIDUpdates  https://t.co/6VSC8E2R7V
1	#CoronaVirusUpdates  #IndiaFightsCorona  More  than  2.68  crore  samples  tested  as  on  today.  #COVID19  Tests  Per  Million  (TPM)  jumps  to  19453.
1	This  week’s  COVIDView  reports  early  indications  that  levels  of  #COVID19  illnesses  while  still  low  may  be  increasing  slightly  in  parts  of  the  United  States.  Hospitalization  rates  and  deaths  are  still  trending  down.  Learn  more:  https://t.co/zP4VYlo0Pb.  https://t.co/agqKuEaufY
0	A  Russian  drug  called  Arbidol  cures  coronavirus.
1	RT  @DrTedros:  COVAX  is  a  groundbreaking  way  to  pool  R&amp;D  &amp;  procurement  risks  across  multiple  vaccines.  It  enables  countries  to  place  collect…
1	On  the  other  end  of  the  country  South  Carolina  is  showing  a  clear  trend  of  increasing  numbers  of  COVID  deaths.  https://t.co/CYxgFrOx3G
0	“I've  always  known  this  is  a  real  this  is  a  pandemic.  I've  felt  it  was  a  pandemic  long  before  it  was  called  a  pandemic.”
0	People  are  offering  prayers  in  groups  on  rooftops  despite  lockdown.  That  too  when  cases  of  coronavirus  in  India  are  continuously  increasing.
0	Says  China  "stole  Coronavirus  from  Canada  and  weaponized  it  into  a  Bioweapon."
0	India's  AYUSH  Ministry  has  certified  Coronil  medicine.
0	The  most  up  to  date  data  in  Victoria  for  2020  was  consistent  with  that  for  2019  despite  concerns  due  to  #COVID19  However  the  numbers  remain  troubling  according  to  Vic's  state  coroner  and  don't  mitigate  the  fact  that  there's  been  an  increase  in  calls  to  mental  health  services
0	Local  Woman  Informs  Kids  That  Mother’s  Day  Is  Going  Ahead  Despite  Coronavirus  https://t.co/67fGZfF2LY
0	Video  of  a  doctor  fainted  on  the  floor  after  getting  infected  with  coronavirus.
1	API  users  beware:  there  is  a  major  caveat  in  the  testing  data  today  as  North  Carolina  removed  220k  tests  from  its  cumulative  numbers.  https://t.co/xR9uxFTX5f
1	🚨  A  game  changer  for  COVID  testing  Abbott  Labs'  is  working  on  a  $5  antigen  test  that  delivers  results  in  15  minutes.  Their  BinaxNOW  card  &amp;  app  will  provide  negative  testers  with  a  date-stamped  health  pass  that  is  renewed  each  time  they  test.  @CNN  https://t.co/7mLQkz2AnE
1	While  the  increase  was  broad—10  states  reported  more  than  10k  tests—a  few  states  reported  unusually  high  numbers  suggesting  they  reported  several  days  worth  of  negative  tests  today.  AZ  e.g.  normally  reports  3-4k  tests.  They  reported  19k  tests  and  fewer  positives  than  normal.
1	#IndiaFightsCorona:  #India  hands  over  29  Ventilators  PPEs  30000  Hydroxychloroquine  tablets  &amp;  other  protective  equipment  to  #GUYANA  in  fight  against  #COVID19.  @IndiainGuyana  #StaySafe  #IndiaWillWin  https://t.co/i7gtdpGj5r
0	A  viral  image  of  a  doctor  who  died  from  treating  patients  with  coronavirus  at  the  Llano  de  Corrientes  Hospital  Argentina.
1	We  have  recorded  85  close  contacts  from  the  charter  flight  from  Christchurch  to  Auckland.  Of  those  29  have  been  tested.  These  include  the  people  closest  to  the  person  on  the  flight.  28  have  returned  a  negative  result.
1	RT  @WHO:  Progress  on  immunization  coverage  was  stalling  before  #COVID19  hit  at  85%  for  diphtheria  tetanus  and  pertussis  (DTP3)  and  measle…
0	Says  Italian  Prime  Minister  Giuseppe  Conte  said,  ???We  have  lost  control,  we  have  killed  the  epidemic  physically  and  mentally.  Can???t  understand  what  more  we  can  do,  all  solutions  are  exhausted  on  ground.  Our  only  hope  remains  up  in  the  Sky,  God  rescue  your  people.??�
0	???59  people  die  as  pastor  gives  them  dettol  to  drink  in  church  to  prevent  coronavirus.??�
1	Observing  physical  distance  reduces  the  risk  of  contact  with  droplets  when  an  infected  person  sneezes/coughs.  #TakeResponsibility  to  reduce  the  risk  of  #COVID19  spread  by:  ✅Wearing  a  face  mask  ✅Observing  physical  distance  ✅Washing  your  hands  frequently  https://t.co/dpkrtBT44B
0	There  is  a  US  patent  for  the  novel  coronavirus  and  a  European  one  for  a  vaccine  to  prevent  it
1	Women  who  become  mothers  during  #COVID19  are  likely  to  have  higher  anxiety  levels.  https://t.co/N8HoSO0RB5  #ACOG2020
1	Health  Departments:  Have  you  seen  CDC’s  Contact  Tracing  Communications  Toolkit  for  #COVID19?  Check  it  out  for  resources  and  messaging  to  use  in  your  communities:  https://t.co/foVDvYwK5N.  #SlowTheSpread  https://t.co/rZatSH87r4
1	Acc  to  @MoHFW_INDIA  revised  #homeisolation  guidelines  elderly  patients  aged  &gt;60  yrs  &amp;  those  with  co-morbid  conditions  such  as  Hypertension  Diabetes  Heart  disease  etc.  shall  only  be  allowed  home  #isolation  after  proper  evaluation  by  the  treating  medical  officer...  (1/3)  https://t.co/1CHg9AoA20
1	Coronavirus  curfew:  Pubs  and  restaurants  will  be  forced  to  shut  at  10pm  https://t.co/yxHTp32lWy
1	Our  daily  update  is  published.  We’ve  now  tracked  7.5  million  tests  up  260k  from  yesterday.  Note  that  we  can  only  track  tests  that  a  state  reports.  For  details  see:  https://t.co/PZrmH4bl5Y  https://t.co/1YwB8fQaT9
0	The  roll-out  of  5G  is  causing  coronavirus  or  coronavirus-like  symptoms.
1	We  are  delighted  that  78  high-  and  upper-middle  countries  and  economies  have  now  confirmed  they  will  participate  in  the  COVAX  Facility  and  the  number  is  growing.  I  urge  those  who  have  not  yet  joined  to  do  so  by  the  18th  of  September-@DrTedros  #COVID19
1	2nd  week  of  Jan  🇨🇳  had  mapped  the  genome  &amp;  shared  it  with  WHO  &amp;  with  wider  🌍.  We  rapidly  published  a  “how  to”  on  building  a  PCR  test  for  #COVID19  from  our  partner  lab  in  🇩🇪.  In  the  3rd  week  WHO  identified  &amp;  began  contracting  for  validated  production  of  these  tests-@DrTedros
1	With  neither  free  coffee  nor  company-branded  tchotchkes  online  medical  meetings  may  have  virtual  tumbleweeds  blowing  through  says  @JackWestMD.  https://t.co/71zrMCrFbG  https://t.co/6bAHJ1NRet
1	HHS  to  distribute  $4  billion  to  #COVID  hot  spots;  $340  million  already  paid  out.  https://t.co/uAj29XA1Y5
0	There  are  59  positive  coronavirus  cases  in  Nagpur  along  with  three  doctors  one  of  whom  is  on  ventilator.
1	195  new  cases  of  #COVID19  reported;  80-Lagos  38-Kano  15-Ogun  15-Bauchi  11-Borno  10-Gombe  9-Sokoto  5-Edo  5-Jigawa  2-Zamfara  1-Rivers  1-Enugu  1-Delta  1-FCT  1-Nasarawa  As  at  11:50pm  28th  April-  1532  confirmed  cases  of  #COVID19  reported  in  Nigeria.  Discharged:  255  Deaths:  44  https://t.co/oPyG4xfoa3
1	Coronavirus:  Only  one  in  10  to  be  protected  from  COVID-19  in  first  year  of  vaccine  use  https://t.co/RjTssQlcWx
1	Since  August  11  our  contact  tracing  team  has  identified  3779  close  contacts  of  cases  of  which  3772  have  been  contacted  and  are  self-isolating  and  we  are  in  the  process  of  contacting  the  rest.
0	Says  if  you  donate  blood,  ???they  HAVE  to  test  you??�  for  coronavirus.
1	•  There  are  no  additional  deaths  to  report.⁣  ⁣  •  6113  tests  were  processed  yesterday.  The  total  number  of  tests  completed  to  date  is  243838.⁣  ⁣  •  Kiwis  are  encouraged  to  get  their  flu  vaccine  as  it’s  starting  to  get  colder.
0	Says  news  stories  referencing  322  and  COVID-19  are  proof  cases  are  being  ???synchronized??�
0	BREAKING!  Families  of  NHS  workers  who  die  of  covid-19  to  be  offered  £60k  compensation  or  a  couple  of  thousand  sets  of  PPE  that  we'll  have  by  then
0	Photo  shows  crowd  at  anti-coronavirus  lockdown  rally  in  Berlin
0	Mumbai  policewoman  felt  dizzy  and  fell  down  as  she  tested  positive  for  COVID-19.
1	@DeborahZinger  @DrIbram  It’s  more  about:  who  does  the  health  care  system  serve  the  best  and  who  does  it  serve  the  worst?  That’s  not  about  race  it’s  about  systemic  racism.  And  the  evidence  on  health  inequities  is  irrefutable.  -@alexismadrigal
1	Latest  update  from  the  Ministry  of  Health:⁣  For  the  seventh  day  in  a  row  there  are  no  new  cases  of  COVID-19  to  report  in  New  Zealand.⁣  Our  total  number  of  confirmed  cases  remains  at  1154  which  is  the  number  we  report  to  the  World  Health  Organization.⁣  https://t.co/kKXMZ78VwZ
1	Our  daily  update  is  published.  We’ve  tracked  a  total  of  1149960  tests  up  ~100k  from  yesterday.  Note  that  we  can  only  track  tests  that  a  state  reports.  And  not  all  states  report  all  negative  tests.  For  details  see:  https://t.co/PZrmH4bl5Y  https://t.co/zUMkCFPvpK
1	First  Minister  of  Scotland  Nicola  Sturgeon  announces  she  will  introduce  similar  measures  for  hospitality  as  in  England  but  said  the  chief  medical  officer  said  that  alone  is  not  enough  to  "bring  the  R  rate  down".  Updates  on  latest  #COVID19  restrictions:  https://t.co/zmT59bGPdT  https://t.co/aut1oLMm45
1	Evidence  of  immunoglobulin  antibodies  in  3  case  series  patients  with  severe  COVID-19  and  encephalitis.  https://t.co/zhGPEEuzzP
0	In  an  Aaj  Tak  news  report,  the  Chinese  prime  minister  said,  "Reading  Quran  and  offering  namaz  is  the  only  cure  for  COVID-19."
0	.@realDonaldTrump  has  claimed  that  the  U.S.  has  "one  of  the  lowest  mortality  rates  in  the  world”  from  COVID-19.  That's  False.  https://t.co/GdFjrXl032
1	A  study  on  the  CV  risk  of  hydroxychloroquine  +  azithromycin  in  rheumatoid  arthritis  has  been  added  to  this  clinical  reference.  https://t.co/GATay941CY  https://t.co/i2hCRx0AhU
1	Foreign  Secretary  Dominic  Raab  joins  @KayBurley  this  morning  to  discuss  the  latest  #COVID19  restrictions  announced  by  the  prime  minister.  🕖  7:05am  👉  #KayBurley  📺  Sky  501  /  Freeview  233  📱  Watch  live  https://t.co/MTAJy15gOc  https://t.co/HhRRsczWkQ
1	As  of  today  #Ghaziabad  district  #UttarPradesh  has  the  highest  number  of  active  #COVID19  cases  (1341)  in  the  state  followed  by  #GautamBuddhNagar  (1008)  and  #Lucknow  (972).  @MoHFW_INDIA  @drharshvardhan  @DrHVoffice  @UPGovt  @MhfwGoUP  #COVID__19  #COVID  #Covid_19  #coronavirus  https://t.co/n4Vh514JOJ
0	cientists  have  found  a  cure  for  coronavirus  and  that  it  is  the  drinking  of  bitter  gourd  juice  causing  the  virus  to  fade  away  in  two  hours  is  making  rounds  on  social  media.
1	Risk  appears  to  be  greater  in  men  with  severe  obesity  than  women.  https://t.co/Fp2qkQGau8
0	São  Paulo  city  hall  schedules  coronavirus  tests  by  phone.
1	RT  @CDCDirector:  Protect  yourself  and  others  from  #COVID19  when  using  public  transportation.  Practice  social  distancing  avoid  touching  sur…
1	The  number  of  people  in  the  UK  who  have  tested  positive  for  #coronavirus  has  increased  by  3330  official  figures  show  https://t.co/7oSxwz9xmd
0	#FactCheck:  What  is  the  full  form  of  #COVID-19?  Who  names  these  diseases?  How  are  they  named?  �  https://t.co/bAoEGa5Pt4  https://t.co/ZbrmT7Op33
0	COVID-19  is  Airborne.
0	A  photo  of  @JoeBiden  and  @gretchenwhitmer  mingling  without  masks  has  sparked  outrage  online  but  it  was  taken  back  in  March  before  COVID-19  emerged  in  Michigan.  https://t.co/xaqbIJ966c
0	RT  @billdmccarthy:  I  wrote  for  @PolitiFact  about  the  viral  working  paper  that  estimated  that  266796  COVID-19  cases  could  be  linked  to  the…
1	📢#CoronaVirusUpdates:  📍#COVID19  India  Tracker  (As  on  13  September  2020  08:00  AM)  ➡️Confirmed  cases:  4754356  ➡️Recovered:  3702595  (77.9%)👍  ➡️Active  cases:  973175  (20.5%)  ➡️Deaths:  78586  (1.7%)  #IndiaFightsCorona  #IndiaWillWin  #StaySafe  Via  @MoHFW_INDIA  https://t.co/Et6JVAGkXu
1	On  the  left  we  see  the  hotspots  we've  been  tracking  for  weeks.  On  the  right  southern  states  that  may  be  following  behind  them—cases  have  quadrupled  since  June  1.  https://t.co/sKRJ6gNVKv
1	About  one  in  three  adults  used  household  cleaners  and  disinfectants  unsafely  to  prevent  #COVID19  such  as  using  bleach  on  food  products  and  improperly  using  household  cleaners  and  disinfectants  on  hands  or  skin.  Read  more  in  @CDCMMWR:  https://t.co/ULBSHv89Ol.  https://t.co/gOUoS61Y8U
0	@WeVotedToLeave  @PathogenScribe  In  India  they  are  prescribing  antihistamines  daily  as  part  of  their  routine  prescriptions  for  home  management  of  mild  covid.
1	📢#COVID19Nigeria  UPDATE  Two  new  labs  have  been  activated  for  #COVID19  testing  at:  1.  DNA  Lab  a  private  sector  lab  in  Kaduna  2.  @uni_maid  Teaching  Hospital  Maiduguri  This  brings  the  number  of  COVID-19  testing  labs  in  Nigeria  to  13  In  progress-  Sokoto  &amp;  Port  Harcourt  https://t.co/wS3HHOUk2u
0	We  have  a  president  more  interested  in  beating  people  at  golf  than  beating  COVID-19.
0	#covid19  #coronavirus  #coronaoutbreak  PREVENTIVE  ACTION  FOR  CORONAVIRUS.    https://t.co/7dyLNwuVLq
0	An  audio  clip  suggests  that  the  WHO  has  advised  a  lockdown.
1	This  is  the  state  of  things  now.  (Note  that  OR  KS  KY  LA  PA  NH  and  RI  did  not  report  any  new  cases  today.)  https://t.co/hgR7FfanYk
1	Thankful  to  Montana  business  leaders  stepping  up  to  keep  us  safe.  "If  strict  stay-at-home  protocols  are  followed  for  the  next  three  months  the  model  shows  a  peak  June  15  with  59  hospitalizations."  via  @DailyInterLake  https://t.co/ayFKe7keT0
0	Ramakrishna  Hospital  is  sealed  after  its  staff  tested  Covid-19  positive.
0	Now,  Donald  Trump  announced  that  Roche  Medical  Company  will  launch  the  vaccine  next  Sunday  and  millions  of  doses  are  ready  for  it..  The  end  of  the  play.  #CoronavirusOutbreak
0	???Bill  Gates  admits  his  COVID-19  vaccine  might  kill  nearly  1  million  people.??�
0	Nasser  Ziberi  tested  positive  for  COVID-19
1	Our  daily  update  is  published.  We’ve  now  tracked  19.2  million  tests  up  551k  (!)  from  yesterday  a  new  daily  high.  There  are  some  important  caveats  in  today's  data  which  will  be  detailed  in  the  thread.  For  details  see:  https://t.co/PZrmH4bl5Y  https://t.co/RxU0SZWXBu
0	Cheb  Khaled  the  king  of  Algerian  Rai  dies  in  a  Paris  hospital  after  he  got  infected  with  Covid-19.
0	The  president  of  Guinea  Bissau  beat  up  a  minister  for  Squandering  COVID-19  funds.
1	490  new  cases  of  #COVID19Nigeria;  Lagos-118  Delta-84  Ebonyi-68  FCT-56  Plateau-39  Edo-29  Katsina-21  Imo-13  Ondo-12  Adamawa-11  Osun-8  Ogun-8  Rivers-6  Kano-5  Enugu-3  Bauchi-3  Akwa  Ibom-3  Kogi-1  Oyo-1  Bayelsa-1  24567  confirmed  9007  discharged  565  deaths  https://t.co/ZIOXhtme3z
1	Rates  of  thyrotoxicosis  are  significantly  higher  among  patients  who  are  critically  ill  with  COVID-19  new  research  finds.  https://t.co/eo293ROopA  https://t.co/z6QKZptwXs
1	In  🇻🇳🇰🇭🇹🇭🇳🇿🇮🇹🇪🇸  &amp;  🇰🇷  &amp;  even  in  Dharavi  a  densely  packed  area  in  Mumbai  a  strong  focus  on  community  engagement  &amp;  the  basics  of  testing  tracing  isolating  &amp;  treating  all  those  that  are  sick  is  key  to  breaking  the  chains  of  transmission  &amp;  suppressing  the  virus-@DrTedros
1	The  recent  storm  impaired  Florida’s  ability  to  do  tests  and  therefore  to  confirm  cases.  Also  a  large  gap  has  opened  between  the  total  number  of  tests  the  state  is  reporting  and  the  number  of  unique  people  who  are  being  tested.  We  report  the  latter.
0	President  Donald  Trump  will  announce  that  a  scientist  "finally  found  a  vaccine  to  cure  coronavirus."
1	The  USD  2.7  billion  it  [ACT-Accelerator]  has  received  to  date  has  been  generous  and  has  enabled  the  robust  start-up  phase.  But  this  is  less  than  10%  of  the  overall  needs-@DrTedros  #COVID19  https://t.co/myhBermgVh
1	Prevalence  of  asymptomatic  infections  in  children  correlates  with  the  overall  incidence  of  COVID-19  in  the  local  population  new  JAMA  Pediatrics  study  finds.  https://t.co/uvlTR9mvA3  https://t.co/I65pOcY0W4
0	Ministry  of  AYUSH  has  removed  Dr.  Mujahid  Hussain  from  service  because  he  banned  Baba  Ramdev's  medicine  Coronil.
1	•  There  were  7174  laboratory  tests  processed  yesterday  which  brings  the  total  number  of  tests  completed  to  216787.⁣  ⁣  •  Today’s  confirmed  case  reinforces  the  'long  tail'  of  the  COVID-19  outbreak  in  New  Zealand.⁣
1	Update  from  the  @minhealthnz  ​  There  are  no  new  cases  of  COVID-19  to  report  today.​  ​The  number  of  active  cases  in  NZ  remains  at  22.  All  active  cases  have  recently  returned  from  overseas  and  were  in  managed  isolation  facilities.  There  are  no  cases  of  community  transmission.
0	Have  you  got  a  hangover  or  COVID-19?  https://t.co/3WGSIpTjKg  https://t.co/vufKbB9Bma
0	A  graphic  of  Zee  News  TV  channels  claims  that  the  Home  Ministry  of  India  has  hinted  at  a  complete  lockdown  in  the  country  after  15  June.  Railway  and  airway  will  come  to  a  halt.
0	Someone  once  used  Facebook  to  rehome  52  horses  but  not  this  year  and  not  after  a  COVID-19  death.  https://t.co/zmqG8rr3eO
1	Over  two-thirds  of  national  COVID-19  deaths  were  reported  in  the  South  today.  The  Northeast  and  Midwest  each  accounted  for  less  than  10%  of  reported  deaths.  https://t.co/w4nzTXKNzZ
0	Population  of  India  =  135  crores  *  If  covid-19  if  we  do  this  testing  for  10  lakh  people  every  day,  then  it  will  take  1350  days,  that  is,  approximately  four  and  a  half  years  to  test  135  crore  people  and  this  much  time  is  also  enough  to  finish  the  country
1	The  increase  in  deaths  is  due  to  a  backlogged  addition  of  probable  deaths  in  Arkansas.  The  state  reported  147  COVID-19  deaths  today  a  noticeable  uptick.  We  hope  to  see  a  backfilled  time  series  moving  forward.
1	@nataleedesotell  @ICPH_homeless  You  probably  don't  want  to  compute  positive  %s  for  all  the  states  because  we  don't  have  data  for  all  of  them
1	#HCPs:  Attend  today’s  COCA  call:  #COVID19  &amp;  Telehealth  Implementation:  Stories  from  the  Field  at  2pm  ET.  Learn  more:  https://t.co/vWVKebacNF.  https://t.co/ZAw7Cux9Gp
0	Elisa  Granato  (32-year-old),  the  first  woman  to  get  vaccine  for  COVID-19,  died.
0	NEWS!  New  Coronavirus  guidelines  allow  people  to  do  all  the  things  they  started  doing  three  weeks  ago.  https://t.co/aiQs32Ty9F  https://t.co/XVnI1YWVfz
1	Balancing  health  and  liberty  during  a  pandemic  requires  being  more  sensible  and  compromising.  https://t.co/A4f4BrJKzm  https://t.co/d2UQmgAbjX
0	Breaking..  You  can  now  benefit  from  the  initiative  launched  by  the  World  Health  Organization,  which  is  a  specific  financial  amount  of  500  euros,  if  you  are  one  of  those  who  suffer  from  difficult  financial  conditions  due  to  Corona,  register  via  the  link.
0	Nurse  Danielle  DiCenso  died  of  COVID-19  at  the  age  of  33  after  being  exposed  to  the  virus  at  the  hospital  where  she  worked  in  Florida.
1	#Mauritius  has  high  population  density  with  high  rates  of  non-communicable  diseases  &amp;  many  international  travellers  which  meant  it  was  at  high-risk.  But  quick  comprehensive  action  initiated  in  January  &amp;  previous  experience  with  contact  tracing  paid  off-@DrTedros  #COVID19
1	Yesterday’s  total  is  up  on  the  last  two  Saturdays  –  on  which  1754  and  1365  tests  were  completed  respectively  –  but  we  still  want  to  see  testing  numbers  increase  particularly  in  Auckland  and  Queenstown.
0	Mumbai  &  Pune..    Please  Note..  Entire  Mumbai  and  Pune  might  be  Under  Strict  Military  Lockdown  for  10  Days  starts  from  Sunday  from  31st  May  immediately  .after  Lockdown  4.  So  Please  Stock  everything  especially  Groceries  &  Vegetables.    Cities  can  be  Handed  over  to  Military.  Only  Milk  and  Medicines  will  be  allowed.  Please  Inform  all  your  Mumbai  Pune  Friends.    Central  Govt.  Meetings  are  going  on  and  Total  Shut  down  of  Mumbai  is  Expected  to  be  Announced  Anytime.
0	The  leakage  of  different  harmful  viruses  from  the  Laboratories,  cannot  be  just  accidental.  There's  more  to  it.  World  must  be  saved  from  China.  We've  already  lost  an  entire  year  due  to  COVID-19,  which  originated  from  China.  @WHO  @narendramodi  @PMOIndia  https://t.co/NwNEq2Eyrr
0	Mitch  McConnell  says  Senate  will  vote  on  coronavirus  stimulus  plan  as  soon  as  this  week  https://t.co/5GyPpH8Y0H
0	Fruit  Vendor  Spitting  To  Spread  Coronavirus  Goes  Viral.
0	SP  Balasubrahmanyam's  family  was  not  able  to  pay  hospital  bills
1	UPDATE:  #COVID19science  ➡️To  accommodate  all  elective  patients  hospital  provision  interventions  to  remain  in  place  until  there  are  less  than  320  critical  care  #COVID19  patients  ➡️Shortfalls  driven  by  lack  of  nurses  beds  &amp;  junior  doctors  🔰Report:  https://t.co/lcFch0FxCt  https://t.co/HwUBPld4RY
0	Nigella  seeds  contain  hydroxychloroquine  which  when  mixed  with  helps  keep  coronavirus  away.
0	New  guidelines  of  ICMR  for  COVID  19  released  on  6th  August  2020.  For  prophylaxis  Tab.  IVERMECTIN  12  mg  On  Day  1,  Day  7  &  Day  30  2  hrs  after  dinner.  Followed  by  every  30  days  1  tab  of  12mg  till  pandemic  is  over.  To  be  taken  by  all  high  risk  people  &  frontline  health  workers.  It  reduces  severity  of  disease  &  fatality  in  80-90%.
1	We've  now  tracked  31142  hospitalizations  and  4700  deaths.  Today's  numbers  show  the  largest  single-day  increases  in  both.  https://t.co/E3ts7woepG
0	Shopping  malls  crowded  in  Italy  during  the  pandemic.
1	More  than  one  #COVID19  vaccine  will  likely  be  needed.  https://t.co/U1SnSi6gYi
1	#IndiaFightsCorona:  10  States/UTs  account  for  83%  of  the  deaths  in  the  last  24  hours  due  to  #COVID.  Maharashtra  reported  392  deaths  followed  by  Karnataka  and  Uttar  Pradesh  with  83and  77  deaths  respectively.  Details  :  https://t.co/rTcdrvolsY  #StaySafe  #IndiaWillWin  https://t.co/mVG3SA9fIt
1	176  new  cases  of  #COVID19Nigeria;  FCT-40  Lagos-34  Plateau-26  Enugu-14  Delta-12  Ogun-12  Ondo-9  Oyo-8  Ekiti-6  Ebonyi-4  Adamawa-2  Nasarawa-2  Kwara-2  Rivers-2  Edo-1  Osun-1  Bauchi-1  55632  confirmed  43610  discharged  1070  deaths  https://t.co/9zY4P3c985
0	The  coronavirus  Aid  Relief  and  Economic  Security  Act  gives  members  of  Congress  a  pay  increase.
0	The  central  government  is  providing  Rs  1.5  Lakh  for  every  Municipality  for  each  coronavirus  infected  patient.
0	???American  coronavirus  vaccine  killed  five  Ukrainians.??�
0	Ebola  versus  COVID-19  -  The  Movie  https://t.co/5y8xAdTfuG  #hollywood  #covid19  #ebolavirus
1	UPDATE:  Alabama’s  reporting  returned  to  normal  indicating  that  its  hospitalizations  did  not  drastically  fall  yesterday.  Once  the  error  was  fixed  the  national  number  of  patients  hospitalized  with  COVID-19  rose.  https://t.co/vcM9C9CctX
0	Trump  Family  To  Go  Into  Facemask  Production  https://t.co/kGWvJlhABr  #donaldtrump  #coronavirus  #fashion  #ivankatrump  #facemasks
1	RT  @drharshvardhan:  #COVID19  UPDATE  👉A  total  of  95735  new  cases  have  been  reported  in  the  last  24  hours  in  the  country  👉60%  of  the  tota…
0	*WORLD  HEALTH  ORGANISATION  PROTOCOL&amp;PROCEDURE  OF  LOCKDOWN  PERIODS  FOR  CONTROLLING  ON  MOST  DANGEROUS  VIRUS*    STEP  1  -  1  DAY.  STEP  2-  21  DAYS.  AFTER  5  DAYS.  STEP  3-  28  DAYS.  AFTER  5  DAYS.  STEP  4  -  15  DAYS.
